id;SiteName;regione;Longitude;Latitude;Elevation;regione2
abruzzo_1112;Catignano;abruzzo;13.94527778;42.34611111;323;Abruzzo
abruzzo_1940;Lanciano;abruzzo;14.38444444;42.22583333;273;Abruzzo
abruzzo_1966;Casoli Diga;abruzzo;14.25805556;42.09555556;302;Abruzzo
abruzzo_2073;Ponte Vomano;abruzzo;13.76861111;42.60888889;136;Abruzzo
abruzzo_2137;Giulianova;abruzzo;13.95277778;42.74805556;55;Abruzzo
abruzzo_2159;L'aquila;abruzzo;13.42861111;42.33416667;618;Abruzzo
abruzzo_2177;Aterno Sagittario A Allogg.idr;abruzzo;13.82972222;42.15638889;248;Abruzzo
basilicata_136;Ferrandina;basilicata;16.4518417679;40.4979110602;492;Basilicata
basilicata_39;Tramutola;basilicata;15.7867;40.2986;875;Basilicata
basilicata_42;Matera;basilicata;16.6017;40.6694;389;Basilicata
basilicata_44;Irsina;basilicata;16.2461;40.7417;453;Basilicata
calabria_10;Montalto Uffugo;calabria;16.13055556;39.40111111;436;Calabria
calabria_7;San Pietro In Guarano;calabria;16.31361111;39.34555556;766;Calabria
calabria_95;Cerenzia;calabria;16.78333333;39.2425;596;Calabria
campania_23;Castelluccio;campania;15.33777778;40.58166667;283.8472900390625;Campania
campania_43;Montella;campania;15.05027778;40.84777778;499.6351928710938;Campania
friuliveneziagiulia_20;Fossalon;friuliveneziagiulia;13.458865;45.714768;0;Friuli Venezia Giulia
lazio_274;Montefiascone;lazio;12.0228;42.53;516;Lazio
lazio_282;Posticciola;lazio;12.9419;42.2336;626;Lazio
lazio_329;Barbarano;lazio;12.0444;42.2542;313;Lazio
lazio_380;Licenza;lazio;12.8997;42.075;553;Lazio
lazio_382;Morlupo;lazio;12.5067;42.1436;223;Lazio
lazio_383;Palestrina;lazio;12.8814;41.8381;428;Lazio
lazio_453;Bolsena;lazio;11.9722;42.6533;352;Lazio
liguria_5924;S. Margherita Vara;liguria;9.661111;44.275833;200;Liguria
marche_108;Pergola;marche;12.844062;43.568672;242;Marche
marche_110;Jesi;marche;13.229972;43.531944;100;Marche
marche_112;Villa Fastiggi;marche;12.86939;43.89061;22;Marche
marche_701;Ancona Torrette;marche;13.449807;43.610954;5;Marche
puglia_109;Pietramontecorvino;puglia;15.11722;41.53389;464;Puglia
puglia_123;Sannicandro_garganico;puglia;15.58417;41.83361;228;Puglia
puglia_135;Spinazzola;puglia;16.08417;40.95056;458;Puglia
puglia_143;Troia;puglia;15.30056;41.35056;436;Puglia
puglia_3;Altamura;puglia;16.55278;40.82389;458;Puglia
puglia_32;Castel_del_monte;puglia;16.31694;41.06722;470;Puglia
puglia_33;Castellana_grotte;puglia;17.20056;40.8675;300;Puglia
puglia_44;Crispiano;puglia;17.23472;40.58444;264;Puglia
puglia_59;Gioia_del_colle;puglia;16.91694;40.8;377;Puglia
puglia_71;Locorotondo;puglia;17.33333;40.75;397;Puglia
puglia_8;Ascoli_satriano;puglia;15.55056;41.20083;435;Puglia
puglia_89;Minervino_murge;puglia;16.08333;41.06694;502;Puglia
puglia_94;Monticchio_bagni;puglia;15.6;40.93333;713;Puglia
sicilia_11835;Diga Platani (Fanaco);sicilia;13.552996;37.670208;667;Sicilia
sicilia_11867;Ragusa;sicilia;14.723773;36.922496;532;Sicilia
toscana_15;Cortona;toscana;11.996447999999999;43.268995;485;Toscana
toscana_232;Lucca;toscana;10.5127;43.842185;17;Toscana
toscana_349;Pontremoli Depuratore;toscana;9.883168;44.369246;290;Toscana
toscana_464;Lucca (Orto Botanico);toscana;10.510888;43.841806;17;Toscana
toscana_55;Prato Universita';toscana;11.099213;43.885556;64;Toscana
toscana_57;S. Giusto;toscana;11.193765;43.759952;39;Toscana
toscana_58;Case Passerini;toscana;11.17746;43.814406;35;Toscana
toscana_72;S. Miniato (Cimitero);toscana;10.831479;43.684031;42;Toscana
toscana_76;Castelmartini;toscana;10.829129;43.817839;22;Toscana
